S. No.,Emp ID,BU,Current Grade,Current Band Equivalence,Designation,Unique Job,Hay Score,Job Family/ Function mapping (as per finalised list) ,Sub Job Family,Department Group,Department,AA Emp. Code,Functional Emp. Code,Current CTC (in lakhs)
377,AB388,HO,M4,L6,Deputy Manager,Piloting & Process Engineer -R&D,275,Innovation & Technology,Research & Development,Innovation & Technology,Research & Development,AB357,AB357,16.1
401,AB412,HO,M3,L6,Manager,Engineer- Process Engineering,247,Innovation & Technology,Process Engineering,Innovation & Technology,Process Engineering,AB399,AB399,21.7
402,AB413,HO,M3,L6,Manager,Engineer- Process Engineering,247,Innovation & Technology,Process Engineering,Innovation & Technology,Process Engineering,AB399,AB399,19.4
403,AB414,HO,M3,L6,Manager,Engineer- Process Engineering,247,Innovation & Technology,Process Engineering,Innovation & Technology,Process Engineering,AB398,AB398,18.7
422,AB433,HO,M4,L6,Deputy Manager,Technology Development Executive,247,Innovation & Technology,Technology Development-PERI,Innovation & Technology,Technology Development-PERI,AB396,AB396,16.0
428,AB439,HO,M4,L6,Deputy Manager,Software Developer,252,IT Services,IT Software,IT Services,IT Services,AB435,AB444,11.0
429,AB440,HO,M3,L6,Manager,Lead-ERP Development & Integration,406,IT Services,IT Software,IT Services,IT Services,AB444,AB444,19.0
435,AB446,HO,M3,L6,Manager,ERP Functional,252,IT Services,IT Software,IT Services,IT Services,AB435,AB435,19.4
437,AB448,HO,M3,L6,Manager,ERP Functional,252,IT Services,IT Software,IT Services,IT Services,AB435,AB435,13.4
442,AB453,HO,M4,L6,Deputy Manager,Executive-Legal & Secretarial,301,Legal & Secretarial,Legal & Secretarial,Legal & Secretarial,Legal & Secretarial,AB456,AB456,11.3
446,AB457,BU-A,M4,L6,Deputy Manager,Customer Support Executive,252,Marketing & Product Management,Sales & Marketing,Marketing/ BD/ Product Management,Sales & Marketing,AB480,AB480,17.2
452,AB463,BU-C,M3,L6,Manager,Sales Manager-BU-C,344,Marketing & Product Management,Sales & Marketing,Marketing/ BD/ Product Management,Sales & Marketing,AB476,AB476,15.4
453,AB464,BU-C,M3,L6,Manager,Sales Manager-BU-C,344,Marketing & Product Management,Sales & Marketing,Marketing/ BD/ Product Management,Sales & Marketing,AB476,AB476,16.3
457,AB468,BU-A,M3,L6,Manager,Sales Manager - BU-A,421,Marketing & Product Management,Sales & Marketing,Marketing/ BD/ Product Management,Sales & Marketing,AB480,AB480,19.6
461,AB472,BU-A,M4,L6,Deputy Manager,Product Manager- BU-A,381,Marketing & Product Management,Product Management,Marketing/ BD/ Product Management,Product Management,AB480,AB480,12.5
467,AB478,BU-B,M4,L6,Deputy Manager,Lead-Business Development - BU-B,449,Marketing & Product Management,Business Development,Marketing/ BD/ Product Management,Marketing/ BD/ Product Management,AB481,AB481,17.4
468,AB479,BU-A,M4,L6,Deputy Manager,IPR & BD Support,301,Marketing & Product Management,Business Development,Marketing/ BD/ Product Management,Marketing/ BD/ Product Management,AB1119,AB1119,12.9
472,AB483,BU-A,M4,L6,Deputy Manager,Customer Support Executive,252,Marketing & Product Management,Sales & Marketing,Marketing/ BD/ Product Management,Sales & Marketing,AB480,AB480,14.6
480,AB491,HO,M4,L6,Deputy Manager,Secretary ,301,MD's Office,MD's Office,MD's Office,MD's Office,AB494,AB494,17.3
485,AB496,BU-A,M3,L6,Manager,Lead-Process Safety,333,Operational Excellence,Safety & Health,Operational Excellence,Safety & Health,AB577,AB577,21.0
487,AB498,BU-A,M4,L6,Deputy Manager ,Site Lead-Environment,333,Operational Excellence,Environment,Operational Excellence,Environment,AB577,AB569,17.5
489,AB500,BU-A,M4,L6,Deputy Manager,Executive- Safety & Health,240,Operational Excellence,Safety & Health,Operational Excellence,Safety & Health,AB521,AB521,16.5
505,AB516,BU-A,M4,L6,Deputy Manager,Section In-charge- Technical Services ,323,Operational Excellence,Technical Services,Operational Excellence,Technical Services,AB497,AB497,13.7
528,AB539,BU-C,M3,L6,Manager,Site Lead-Environment,333,Operational Excellence,Environment,Operational Excellence,Environment,AB966,AB1118,13.0
543,AB554,BU-B,M4,L6,Deputy Manager,Technical Services Executive,247,Operational Excellence,Technical Services,Operational Excellence,Technical Services,AB1040,AB1040,14.8
555,AB566,HO,M3,L6,Manager,Lead-Corporate Quality Assurance,353,Operational Excellence,Operational Excellence,Operational Excellence,Operational Excellence,AB568,AB568,20.2
571,AB582,BU-A,M4,L6,Deputy Manager,Section Incharge - Production,353,Operations,Operations,Operations,Operations,AB019,AB019,14.6
575,AB586,BU-A,M4,L6,Deputy Manager,Section Incharge - Production,353,Operations,Operations,Operations,Operations,AB019,AB019,13.4
579,AB590,BU-A,M4,L6,Deputy Manager,Section Incharge - Production,353,Operations,Operations,Operations,Operations,AB020,AB019,16.4
856,AB867,BU-A,M3,L6,Manager ,Section Incharge - Production,353,Operations,Operations,Operations,Operations,AB020,AB020,16.4
983,AB994,BU-C,M4,L6,Deputy Manager,Section Incharge - Production,353,Operations,Operations,Operations,Operations,AB992,AB992,9.1
986,AB997,BU-C,M3,L6,Manager,Section Incharge - Production,353,Operations,Operations,Operations,Operations,AB992,AB991,13.4
990,AB1001,BU-C,M4,L6,Deputy Manager,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB1002,AB992,9.1
991,AB1002,BU-C,M4,L6,Deputy Manager,Section Incharge - Production,353,Operations,Operations,Operations,Operations,AB992,AB991,11.7
"1,031",AB1042,BU-B,M3,L6,Manager,Head-Production,438,Operations,Operations,Operations,Operations,AB419,AB419,18.6
"1,110",AB1121,BU-C,M3,L6,Manager,Executive Assistant (to TM1 Leaders),353,Operations,Operations,Operations,Operations,AB1118,AB1118,14.2
"1,111",AB1122,BU-A,M3,L6,Manager,Site Lead-QA/QC,479,QA/QC,QA/QC,QA/QC,Quality Control,AB577,AB577,18.7
"1,112",AB1123,BU-A,M4,L6,Deputy Manager,Section In-charge QA/ QC ,252,QA/QC,QA/QC,QA/QC,Quality Control,AB1122,AB1122,13.0
"1,165",AB1176,BU-B,M4,L6,Deputy Manager,Shift In-charge-QA/ QC,252,QA/QC,QA/QC,QA/QC,Quality Control,AB1174,AB1174,13.1
"1,171",AB1182,BU-C,M3,L6,Manager,Site Lead-QA/QC,479,QA/QC,QA/QC,QA/QC,Quality Control,AB991,AB1118,11.1
"1,172",AB1183,BU-C,M4,L6,Deputy Manager,Section In-charge QA/ QC ,252,QA/QC,QA/QC,QA/QC,Quality Control,AB1182,AB991,7.6
"1,183",AB1194,BU-B,M4,L6,Deputy Manager,Site Lead-QA/QC,479,QA/QC,QA/QC,QA/QC,Quality Assurance,AB419,AB566,16.7
"1,188",AB1199,BU-B,M4,L6,Deputy Manager,Section In-charge QA/ QC ,252,QA/QC,QA/QC,QA/QC,Quality Control,AB1192,AB1192,16.2
"1,198",AB1209,BU-B,M3,L6,Manager,Site Lead-Safety & Health - BU-B,333,Operational Excellence,Safety & Health,Operational Excellence,Safety & Health,AB563,AB563,18.03
"1,203",AB1214,BU-A,M4,L6,Deputy Manager,Lead-Domestic Outbound Logistics,275,Supply Chain Management,Logistics,Supply Chain Management,Stores,AB577,AB1277,12.61
"1,244",AB1255,HO,M4,L6,Deputy Manager,Technology Development Executive,247,Innovation & Technology,Technology Development-PERI,Innovation & Technology,Technology Development-PERI,AB396,AB396,13.93
"1,255",AB1266,HO,M4,L6,Deputy Manager,Sales Executive,240,Supply Chain Management,Sales & Marketing,Supply Chain Management,Sales & Marketing,AB1277,AB1277,16.66
"1,263",AB1274,HO,M4,L6,Deputy Manager,Lead-Documentation,247,Supply Chain Management,Documentation,Supply Chain Management,Commercial,AB1277,AB1277,13.05
"1,268",AB1279,HO,M4,L6,Deputy Manager,Commercial Executive,247,Supply Chain Management,Commercial,Supply Chain Management,Commercial,AB1277,AB1277,12.68
"1,280",AB1291,HO,M4,L6,Deputy Manager,Team Leader-R&D-Analytical,451,Innovation & Technology,Research & Development,Technology,Research & Development,AB409,AB409,16.50
2,AB013,BU-B,M6,L7,Senior Executive,Plant In-charge - BU-B,381,Operations,Production,Operations,Operations,AB1042,AB1042,9.68
7,AB018,BU-B,M5,L7,Assistant Manager,Plant In-charge - BU-B,381,Operations,Production,Operations,Operations,AB1042,AB1042,7.96
13,AB024,BU-C,M5,L7,Assistant Manager,Section Incharge - Production,353,Operations,Operations,Operations,Operations,AB925,AB925,16.07
23,AB034,BU-A,M5,L7,Assistant Manager,Utilities Engineer,228,Engineering,Utilities Engineering,Engineering,Engineering,AB033,AB032,15.25
24,AB035,BU-A,M6,L7,Senior Executive,Capex & Documentation Engineer,240,Engineering,CAPEX & MOC,Engineering,Engineering,AB038,AB038,8.55
25,AB036,BU-A,M6,L7,Senior Executive,Capex & Documentation Engineer,240,Engineering,CAPEX & MOC,Engineering,Engineering,AB038,AB038,9.51
26,AB037,BU-A,M6,L7,Senior Executive,Capex & Documentation Engineer,240,Engineering,CAPEX & MOC,Engineering,Engineering,AB038,AB038,7.0
28,AB039,BU-A,M5,L7,Assistant Manager,Section In charge- Civil,284,Engineering,Civil Engineering,Engineering,Engineering,AB030,AB030,11.38
29,AB040,BU-A,M5,L7,Assistant Manager,Section In charge- Civil,284,Engineering,Civil Engineering,Engineering,Engineering,AB030,AB030,12.03
32,AB043,BU-A,M6,L7,Senior Executive,Instrumentation Engineer,228,Engineering,Instrumentation Engineering,Engineering,Engineering,AB042,AB103,10.45
33,AB044,BU-A,M6,L7,Senior Executive ,Section In charge- Instrumentation,284,Engineering,Instrumentation Engineering,Engineering,Engineering,AB103,AB103,5.9
36,AB047,BU-A,M5,L7,Assistant Manager,Mechanical Engineer,228,Engineering,Mechanical Engineering,Engineering,Engineering,AB045,AB045,9.29
37,AB048,BU-A,M5,L7,Assistant Manager,Mechanical Engineer,228,Engineering,Mechanical Engineering,Engineering,Engineering,AB045,AB045,7.16
38,AB049,BU-A,M6,L7,Senior Executive,Mechanical Engineer,228,Engineering,Mechanical Engineering,Engineering,Engineering,AB046,AB046,9.19
39,AB050,BU-A,M6,L7,Senior Executive,Mechanical Engineer,228,Engineering,Mechanical Engineering,Engineering,Engineering,AB046,AB046,6.02
41,AB052,BU-A,M6,L7,Executive,Utilities Engineer,228,Engineering,Utilities Engineering,Engineering,Engineering,AB051,AB032,8.3
42,AB053,BU-A,M5,L7,Assistant Manager,Utilities Engineer,228,Engineering,Utilities Engineering,Engineering,Engineering,AB033,AB032,11.2
43,AB054,BU-A,M6,L7,Executive ,Utilities Engineer,228,Engineering,Utilities Engineering,Engineering,Engineering,AB033,AB032,8.30
44,AB055,BU-A,M5,L7,Assistant Manager,Utilities Engineer,228,Engineering,Utilities Engineering,Engineering,Engineering,AB033,AB032,12.00
45,AB056,BU-A,M6,L7,Senior Executive,Utilities Engineer,228,Engineering,Utilities Engineering,Engineering,Engineering,AB033,AB032,8.91
50,AB061,BU-A,M6,L7,Senior Executive,Electrical Engineer,228,Engineering,Electrical Engineering,Engineering,Engineering,AB028,AB029,6.51
65,AB076,BU-A,M6,L7,Senior Executive,Mechanical Engineer,228,Engineering,Mechanical Engineering,Engineering,Engineering,AB045,AB045,6.29
66,AB077,BU-A,M6,L7,Senior Executive,Mechanical Engineer,228,Engineering,Mechanical Engineering,Engineering,Engineering,AB045,AB045,5.1
68,AB079,BU-A,M6,L7,Senior Executive,Costing Engineer,247,Engineering,Mechanical Engineering,Engineering,Engineering,AB030,AB030,6.58
75,AB086,BU-A,M6,L7,Senior Executive,Mechanical Engineer,228,Engineering,Mechanical Engineering,Engineering,Engineering,AB046,AB046,7.30
94,AB105,BU-A,M6,L7,Senior Executive,Utilities Engineer,228,Engineering,Utilities Engineering,Engineering,Engineering,AB033,AB032,10.40
103,AB114,BU-A,M5,L7,Engineering,Section In charge- Utilities,284,Engineering,Utilities Engineering,Engineering,Engineering,AB032,AB032,12.00
106,AB117,BU-C,M5,L7,Assistant Manager,Lead - Electrical/ Instrumentation,344,Engineering,Electrical Engineering,Engineering,Engineering,AB138,AB138,15.89
109,AB120,BU-C,M6,L7,Senior Executive,Mechanical Engineer,228,Engineering,Mechanical Engineering,Engineering,Engineering,AB138,AB966,10.38
119,AB130,BU-C,M6,L7,Senior Executive,Instrumentation Engineer,228,Engineering,Instrumentation Engineering,Engineering,Engineering,AB138,AB966,5.82
138,AB149,BU-C,M6,L7,Senior Executive,Mechanical Engineer,228,Engineering,Mechanical Engineering,Engineering,Engineering,AB129,AB966,5.10
139,AB150,BU-C,M5,L7,Assistant Manager,Lead - Electrical/ Instrumentation,344,Engineering,Electrical Engineering,Engineering,Engineering,AB138,AB966,11.50
140,AB151,BU-B,M6,L7,Senior Executive,Mechanical Engineer,228,Engineering,Mechanical Engineering,Engineering,Engineering,AB975,AB975,11.91
144,AB155,BU-B,M6,L7,Senior Executive,Section In charge- Utilities,284,Engineering,Utilities Engineering,Engineering,Engineering,AB975,AB975,9.91
148,AB159,BU-C,M5,L7,Assistant Manager,Section In charge- Electrical,284,Engineering,Electrical Engineering,Engineering,Engineering,AB158,AB194,5.95
151,AB162,BU-C,M5,L7,Assistant Manager,Section In charge- Mechanical,284,Engineering,Mechanical Engineering,Engineering,Engineering,AB992,AB991,7.42
152,AB163,BU-C,M5,L7,Assistant Manager,Mechanical Engineer,228,Engineering,Mechanical Engineering,Engineering,Engineering,AB992,AB991,6.5
153,AB164,BU-C,M6,L7,Senior Executive,Mechanical Engineer,228,Engineering,Mechanical Engineering,Engineering,Engineering,AB992,AB991,5.5
154,AB165,BU-C,M6,L7,Senior Executive,Mechanical Engineer,228,Engineering,Mechanical Engineering,Engineering,Engineering,AB992,AB991,5.8
155,AB166,BU-C,M5,L7,Assistant Manager,Lead-Mechanical,344,Engineering,Mechanical Engineering,Engineering,Engineering,AB194,AB991,14.1
157,AB168,BU-C,M5,L7,Assistant Manager,Lead-Utilities,344,Engineering,Utilities Engineering,Engineering,Engineering,AB194,AB991,10.25
162,AB173,BU-C,M6,L7,Senior Executive,Shift Officer Engineering,195,Engineering,Civil Engineering,Engineering,Engineering,AB166,AB194,4.34
167,AB178,BU-C,M6,L7,Senior Executive,Mechanical Engineer,228,Engineering,Mechanical Engineering,Engineering,Engineering,AB157,AB991,3.84
185,AB196,BU-B,M6,L7,Senior Executive,Shift Officer Engineering,195,Engineering,Civil Engineering,Engineering,Engineering,AB201,AB195,11.56
186,AB197,BU-B,M6,L7,Senior Executive,Shift Officer Engineering,195,Engineering,Civil Engineering,Engineering,Engineering,AB199,AB195,8.66
187,AB198,BU-B,M5,L7,Assistant Manager,Section In charge- Instrumentation,284,Engineering,Instrumentation Engineering,Engineering,Engineering,AB227,AB227,10.38
188,AB199,BU-B,M5,L7,Assistant Manager,Section In charge- Instrumentation,284,Engineering,Instrumentation Engineering,Engineering,Engineering,AB227,AB227,11.57
189,AB200,BU-B,M6,L7,Senior Executive,Shift Officer Engineering,195,Engineering,Civil Engineering,Engineering,Engineering,AB199,AB195,8.64
190,AB201,BU-B,M6,L7,Senior Executive,Section In charge- Mechanical,284,Engineering,Mechanical Engineering,Engineering,Engineering,AB195,AB195,7.15
191,AB202,BU-B,M5,L7,Assistant Manager,Section In charge- Mechanical,284,Engineering,Mechanical Engineering,Engineering,Engineering,AB195,AB195,9.12
192,AB203,BU-B,M6,L7,Senior Executive,Section In charge- Civil,284,Engineering,Civil Engineering,Engineering,Engineering,AB227,AB227,13.58
222,AB233,HO,M5,L7,Assistant Manager,Finance Executive,247,Finance & Accounts,Finance & Accounts,Finance & Accounts,Finance & Accounts,AB230,AB230,14.87
243,AB254,BU-C,M6,L7,Senior Executive,Planning & MIS Executive,291,Finance & Accounts,MIS & Costing,Finance & Accounts,Finance & Accounts,AB237,AB966,6.55
244,AB255,BU-A,M5,L7,Assistant Manager,Accounts Executive,247,Finance & Accounts,Finance & Accounts,Finance & Accounts,Finance & Accounts,AB234,AB234,11.55
245,AB256,BU-A,M5,L7,Assistant Manager,Accounts Executive,247,Finance & Accounts,Finance & Accounts,Finance & Accounts,Finance & Accounts,AB234,AB234,12.60
246,AB257,BU-A,M5,L7,Assistant Manager,Accounts Executive,247,Finance & Accounts,Finance & Accounts,Finance & Accounts,Finance & Accounts,AB234,AB234,11.29
247,AB258,BU-A,M6,L7,Senior Executive,Accounts Executive,247,Finance & Accounts,Finance & Accounts,Finance & Accounts,Finance & Accounts,AB234,AB234,8.80
249,AB260,BU-A,M6,L7,Senior Executive,Accounts Executive,247,Finance & Accounts,Finance & Accounts,Finance & Accounts,Finance & Accounts,AB234,AB234,11.13
254,AB265,BU-C,M6,L7,Senior Executive,Accounts Executive,247,Finance & Accounts,Finance & Accounts,Finance & Accounts,Finance & Accounts,AB237,AB966,7.92
255,AB266,BU-C,M6,L7,Senior Executive,Accounts Executive,247,Finance & Accounts,Finance & Accounts,Finance & Accounts,Finance & Accounts,AB237,AB966,6.24
257,AB268,BU-B,M5,L7,Assistant Manager,Accounts Executive,247,Finance & Accounts,Finance & Accounts,Finance & Accounts,Finance & Accounts,AB241,AB241,14.7
258,AB269,BU-B,M5,L7,Assistant Manager,Accounts Executive,247,Finance & Accounts,Finance & Accounts,Finance & Accounts,Finance & Accounts,AB241,AB241,9.62
259,AB270,BU-B,M5,L7,Assistant Manager,Accounts Executive,247,Finance & Accounts,Finance & Accounts,Finance & Accounts,Finance & Accounts,AB241,AB241,8.95
260,AB271,BU-B,M5,L7,Assistant Manager,Accounts Executive,247,Finance & Accounts,Finance & Accounts,Finance & Accounts,Finance & Accounts,AB241,AB241,17.59
261,AB272,BU-B,M6,L7,Senior Executive,Accounts Executive,247,Finance & Accounts,Finance & Accounts,Finance & Accounts,Finance & Accounts,AB241,AB241,8.05
262,AB273,BU-C,M5,L7,Assistant Manager,Accounts Executive,247,Finance & Accounts,Finance & Accounts,Finance & Accounts,Finance & Accounts,AB253,AB991,13.17
263,AB274,BU-C,M6,L7,Senior Executive,Accounts Executive,247,Finance & Accounts,Finance & Accounts,Finance & Accounts,Finance & Accounts,AB253,AB991,9.99
264,AB275,BU-C,M6,L7,Senior Executive,Accounts Executive,247,Finance & Accounts,Finance & Accounts,Finance & Accounts,Finance & Accounts,AB253,AB991,6.68
265,AB276,BU-B,M6,L7,Senior Executive,Accounts Executive,247,Finance & Accounts,Finance & Accounts,Finance & Accounts,Finance & Accounts,AB419,AB239,8.2
267,AB278,HO,M5,L7,Assistant Manager,Lead Direct Taxation,282,Finance & Accounts,Accounts & Taxation,Finance & Accounts,Finance & Accounts,AB231,AB231,8.33
268,AB279,HO,M5,L7,Assistant Manager,Lead-Accounts & Indirect Taxation,282,Finance & Accounts,Accounts & Taxation,Finance & Accounts,Finance & Accounts,AB231,AB231,8.33
271,AB282,HO,M5,L7,Assistant Manager,Accounts Executive,247,Finance & Accounts,Finance & Accounts,Finance & Accounts,Finance & Accounts,AB231,AB231,13.2
273,AB284,HO,M5,L7,Assistant Manager,Accounts Executive,247,Finance & Accounts,Finance & Accounts,Finance & Accounts,Finance & Accounts,AB231,AB231,13.84
274,AB285,HO,M6,L7,Senior Executive,Finance Executive,247,Finance & Accounts,Finance & Accounts,Finance & Accounts,Finance & Accounts,AB232,AB232,6.91
275,AB286,HO,M6,L7,Senior Executive,Finance Executive,247,Finance & Accounts,Finance & Accounts,Finance & Accounts,Finance & Accounts,AB246,AB246,8.02
276,AB287,HO,M5,L7,Assistant Manager,Finance Executive,247,Finance & Accounts,Finance & Accounts,Finance & Accounts,Finance & Accounts,AB248,AB248,8.59
295,AB306,BU-C,M5,L7,Assistant Manager,Lead-Human Resource Operations (Units),323,HR & Admin.,HR Operations & IR,HR & Admin.,HR & Admin.,AB295,AB966,8.6
296,AB307,BU-C,M5,L7,Assistant Manager,Lead-Human Resource Operations (Units),323,HR & Admin.,HR Operations & IR,HR & Admin.,HR & Admin.,AB295,AB966,11.7
298,AB309,BU-B,M5,L7,Assistant Manager,Lead-Industrial Relations & Compliance Management,323,HR & Admin.,HR Operations & IR,HR & Admin.,HR & Admin.,AB312,AB312,7.75
299,AB310,HO,M5,L7,Assistant Manager,Lead-Talent Acquisition- CRP,342,HR & Admin.,Talent Acquisition,HR & Admin.,HR & Admin.,AB290,AB289,8.3
306,AB317,BU-A,M6,L7,Senior Executive ,Lead-Talent Acquisition- Units,291,HR & Admin.,Talent Acquisition,HR & Admin.,HR & Admin.,AB294,AB294,4.25
307,AB318,BU-A,M5,L7,Assistant Manager,Lead-Payroll & Benefits ,291,HR & Admin.,HR Operations & IR,HR & Admin.,HR & Admin.,AB294,AB294,8.36
309,AB320,BU-B,M5,L7,Assistant Manager,Site Lead-Administration & Security,291,HR & Admin.,Security & Administration,HR & Admin.,HR & Admin.,AB312,AB312,19.35
310,AB321,BU-B,M6,L7,Sr. Executive,Lead-Talent Acquisition- Units,291,HR & Admin.,Talent Acquisition,HR & Admin.,HR & Admin.,AB312,AB312,2.91
314,AB325,BU-A,M5,L7,Assistant Manager ,Security Officer ,194,HR & Admin.,Security & Administration,HR & Admin.,HR & Admin.,AB324,AB324,8.50
315,AB326,BU-A,M5,L7,Assistant Manager ,Security Officer ,194,HR & Admin.,Security & Administration,HR & Admin.,HR & Admin.,AB324,AB324,8.03
316,AB327,BU-A,M5,L7,Assistant Manager ,Security Officer ,194,HR & Admin.,Security & Administration,HR & Admin.,HR & Admin.,AB324,AB324,7.88
317,AB328,BU-C,M6,L7,Senior Executive,Human Resource Executive,240,HR & Admin.,HR Operations & IR,HR & Admin.,HR & Admin.,AB295,AB966,5.4
318,AB329,HO,M6,L7,Senior Executive,Human Resource Executive,240,HR & Admin.,HR Operations & IR,HR & Admin.,HR & Admin.,AB290,AB290,6.08
319,AB330,HO,M6,L7,Senior Executive,Human Resource Executive,240,HR & Admin.,HR Operations & IR,HR & Admin.,HR & Admin.,AB315,AB315,7.75
320,AB331,BU-B,M5,L7,Asst. Manager,Section Incharge Security,240,HR & Admin.,Security & Administration,HR & Admin.,HR & Admin.,AB312,AB312,6.00
324,AB335,HO,M5,L7,Assistant Manager,Executive Assistant (to TM2 Leaders),301,HR & Admin.,HR & Admin.,HR & Admin.,HR & Admin.,AB289,AB289,8.30
334,AB345,HO,M5,L7,Assistant Manager,Synthesis Researcher- R&D,245,Innovation & Technology,Research & Development,Innovation & Technology,Research & Development,AB346,AB405,14.9
336,AB347,HO,M6,L7,Senior Executive,Synthesis Researcher- R&D,245,Innovation & Technology,Research & Development,Innovation & Technology,Research & Development,AB346,AB405,10.0
337,AB348,HO,M6,L7,Senior Executive,Synthesis Researcher- R&D,245,Innovation & Technology,Research & Development,Innovation & Technology,Research & Development,AB346,AB405,9.3
338,AB349,HO,M5,L7,Assistant Manager,Synthesis Researcher- R&D,245,Innovation & Technology,Research & Development,Innovation & Technology,Research & Development,AB346,AB405,1.10
340,AB351,HO,M5,L7,Assistant Manager,Technology Development Executive,247,Innovation & Technology,Technology Development-PERI,Innovation & Technology,Technology Development-PERI,AB396,AB396,8.53
341,AB352,HO,M6,L7,Senior Executive,Technology Development Executive,247,Innovation & Technology,Technology Development-PERI,Innovation & Technology,Technology Development-PERI,AB396,AB396,7.00
347,AB358,HO,M6,L7,#N/A,Team Leader-R&D-Piloting & Process Engineering,451,Innovation & Technology,Research & Development,Innovation & Technology,Research & Development,AB408,AB408,8.00
348,AB359,HO,M6,L7,Senior Executive,Finance Executive,247,Finance & Accounts,Finance & Accounts,Finance & Accounts,Finance & Accounts,AB248,AB248,6.01
350,AB361,HO,M5,L7,#N/A,Team Leader-R&D-Analytical,451,Innovation & Technology,Research & Development,Innovation & Technology,Research & Development,AB409,AB409,13.80
351,AB362,HO,M6,L7,Senior Executive,Finance Executive,247,Finance & Accounts,Finance & Accounts,Finance & Accounts,Finance & Accounts,AB232,AB232,6.08
353,AB364,HO,M6,L7,Senior Executive,Synthesis Researcher- R&D,245,Innovation & Technology,Research & Development,Innovation & Technology,Research & Development,AB353,AB353,6.09
355,AB366,HO,M6,L7,Senior Executive,Synthesis Researcher- R&D,245,Innovation & Technology,Research & Development,Innovation & Technology,Research & Development,AB406,AB406,7.72
356,AB367,HO,M6,L7,Senior Executive,Synthesis Researcher- R&D,245,Innovation & Technology,Research & Development,Innovation & Technology,Research & Development,AB406,AB406,7.49
357,AB368,HO,M6,L7,Senior Executive,Synthesis Researcher- R&D,245,Innovation & Technology,Research & Development,Innovation & Technology,Research & Development,AB406,AB406,9.04
358,AB369,HO,M6,L7,Senior Executive,Synthesis Researcher- R&D,245,Innovation & Technology,Research & Development,Innovation & Technology,Research & Development,AB356,AB356,11.05
359,AB370,HO,M6,L7,Senior Executive,Synthesis Researcher- R&D,245,Innovation & Technology,Research & Development,Innovation & Technology,Research & Development,AB354,AB354,9.80
360,AB371,HO,M5,L7,Assistant Manager,Synthesis Researcher- R&D,245,Innovation & Technology,Research & Development,Innovation & Technology,Research & Development,AB354,AB354,7.13
361,AB372,HO,M6,L7,Senior Executive,Synthesis Researcher- R&D,245,Innovation & Technology,Research & Development,Innovation & Technology,Research & Development,AB356,AB356,8.03
362,AB373,HO,M6,L7,Senior Executive,Synthesis Researcher- R&D,245,Innovation & Technology,Research & Development,Innovation & Technology,Research & Development,AB354,AB354,8.25
363,AB374,HO,M6,L7,Senior Executive,Synthesis Researcher- R&D,245,Innovation & Technology,Research & Development,Innovation & Technology,Research & Development,AB356,AB356,12.24
365,AB376,HO,M6,L7,Senior Executive,Synthesis Researcher- R&D,245,Innovation & Technology,Research & Development,Innovation & Technology,Research & Development,AB353,AB353,7.11
367,AB378,HO,M6,L7,Senior Executive,Synthesis Researcher- R&D,245,Innovation & Technology,Research & Development,Innovation & Technology,Research & Development,AB354,AB354,6.95
372,AB383,HO,M5,L7,Assistant Manager,Synthesis Researcher- R&D,245,Innovation & Technology,Research & Development,Innovation & Technology,Research & Development,AB356,AB356,9.50
374,AB385,HO,M6,L7,Senior Executive,Piloting & Process Officer -R&D,208,Innovation & Technology,Research & Development,Innovation & Technology,Research & Development,AB353,AB353,14.26
375,AB386,HO,M6,L7,Senior Executive,Piloting & Process Engineer -R&D,275,Innovation & Technology,Research & Development,Innovation & Technology,Research & Development,AB408,AB408,12.22
376,AB387,HO,M5,L7,Assistant Manager,Piloting & Process Engineer -R&D,275,Innovation & Technology,Research & Development,Innovation & Technology,Research & Development,AB408,AB408,15.11
378,AB389,HO,M6,L7,Senior Executive,Piloting & Process Engineer -R&D,275,Innovation & Technology,Research & Development,Innovation & Technology,Research & Development,AB408,AB408,5.98
379,AB390,HO,M6,L7,Senior Executive,Piloting & Process Officer -R&D,208,Innovation & Technology,Research & Development,Innovation & Technology,Research & Development,AB358,AB358,13.28
381,AB392,HO,M6,L7,Senior Executive,Piloting & Process Engineer -R&D,275,Innovation & Technology,Research & Development,Innovation & Technology,Research & Development,AB357,AB357,4.68
383,AB394,HO,M6,L7,Senior Executive,Technology Development Executive,247,Innovation & Technology,Technology Development-PERI,Innovation & Technology,Research & Development,AB357,AB357,6.50
399,AB410,HO,M5,L7,Assistant Manager,Executive Assistant (to TM2 Leaders),301,Innovation & Technology,Innovation & Technology,Innovation & Technology,Innovation & Technology,AB338,AB338,11.60
404,AB415,BU-A,M6,L7,Senior Executive,Procurement Executive - BU-A,240,Supply Chain Management,Materials/ Strategic Sourcing,Supply Chain Management,Materials,AB1239,AB1239,7.00
406,AB417,BU-C,M5,L7,Assistant Manager,Procurement Executive - BU-C,240,Supply Chain Management,Materials/ Strategic Sourcing,Supply Chain Management,Materials,AB1254,AB991,7.35
409,AB420,HO,M5,L7,Assistant Manager,Engineer- Process Engineering,247,Innovation & Technology,Process Engineering,Innovation & Technology,Process Engineering,AB398,AB398,11.70
410,AB421,HO,M6,L7,Senior Executive,Engineer- Process Engineering,247,Innovation & Technology,Process Engineering,Innovation & Technology,Process Engineering,AB398,AB398,8.19
